Company,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Location,site,State,Country
RVSN USSR,07/09/1995,15:09:00,Space Shuttle Endeavour,STS-69,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
RVSN USSR,20/10/1995,13:53:00,Space Shuttle Columbia,STS-73,Retired,450,Success,LC-39B, Kennedy Space Center, Florida, USA
Arianespace,22/10/1995,08:00:00,Atlas II,USA-114 (UHF F6),Retired,,Success,SLC-36A, Cape Canaveral AFS, Florida, USA
NASA,23/10/1995,22:03:00,Conestoga-1620,METEOR,Retired,20,Failure,LP-0A, Wallops Flight Facility, Virginia, USA
RVSN USSR,04/11/1995,14:22:00,Delta II 7920-10,RADARSAT-1 and SURFSAT,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
Douglas,06/11/1995,05:15:00,Titan IV(401)A,Milstar DFS-2,Retired,,Success,SLC-40, Cape Canaveral AFS, Florida, USA
Arianespace,12/11/1995,12:30:00,Space Shuttle Atlantis,STS-74,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
RVSN USSR,02/12/1995,08:08:00,Atlas IIAS,SOHO,Retired,,Success,SLC-36B, Cape Canaveral AFS, Florida, USA
NASA,05/12/1995,21:18:00,Titan IV(404)A,KH-11 Kennen,Retired,,Success,SLC-4E, Vandenberg AFB, California, USA
Martin Marietta,15/12/1995,00:23:00,Atlas IIA,Galaxy 3R,Retired,,Success,SLC-36A, Cape Canaveral AFS, Florida, USA
ISRO,30/12/1995,13:48:00,Delta II 7920-10,XTE,Retired,,Success,SLC-17A, Cape Canaveral AFS, Florida, USA
Arianespace,11/01/1996,09:41:00,Space Shuttle Endeavour,STS-72,Retired,450,Success,LC-39B, Kennedy Space Center, Florida, USA
RVSN USSR,14/01/1996,11:10:00,Delta II 7925,Koreasat-2,Retired,,Success,SLC-17B, Cape Canaveral AFS, Florida, USA
RVSN USSR,01/02/1996,01:15:00,Atlas IIAS,Palapa C1,Retired,,Success,SLC-36B, Cape Canaveral AFS, Florida, USA
RVSN USSR,17/02/1996,20:43:00,Delta II 7925-8,NEAR,Retired,,Success,SLC-17B, Cape Canaveral AFS, Florida, USA
Boeing,22/02/1996,20:18:00,Space Shuttle Columbia,STS-75,Retired,450,Success,LC-39B, Kennedy Space Center, Florida, USA
RVSN USSR,24/02/1996,11:24:00,Delta II 7925-10,Polar,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
Martin Marietta,09/03/1996,01:53:00,Pegasus XL,REX II,Active,40,Success,Stargazer, Vandenberg AFB, California, USA
RVSN USSR,22/03/1996,08:13:00,Space Shuttle Atlantis,STS-76,Retired,450,Success,LC-39B, Kennedy Space Center, Florida, USA
Arianespace,28/03/1996,00:21:00,Delta II 7925,USA-117 (GPS IIA-16),Retired,,Success,SLC-17B, Cape Canaveral AFS, Florida, USA
RVSN USSR,03/04/1996,23:01:00,Atlas IIA,Inmarsat 3-F1,Retired,,Success,SLC-36A, Cape Canaveral AFS, Florida, USA
RVSN USSR,24/04/1996,12:27:00,Delta II 7920-10,MSX,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
NASA,24/04/1996,23:37:00,Titan IV(401)A,Mercury,Retired,,Success,SLC-41, Cape Canaveral AFS, Florida, USA
Arianespace,30/04/1996,04:31:00,Atlas I,BeppoSAX,Retired,,Success,SLC-36B, Cape Canaveral AFS, Florida, USA
Boeing,12/05/1996,21:32:00,Titan IV(403)A,"SLDCOM, NOSS 3x, TiPS 2x",Retired,,Success,SLC-4E, Vandenberg AFB, California, USA
Boeing,17/05/1996,02:44:00,Pegasus,MSTI-3,Retired,40,Success,Stargazer, Vandenberg AFB, California, USA
RVSN USSR,19/05/1996,10:30:00,Space Shuttle Endeavour,STS-77,Retired,450,Success,LC-39B, Kennedy Space Center, Florida, USA
Martin Marietta,24/05/1996,01:10:00,Delta II 7925,Galaxy 9,Retired,,Success,SLC-17B, Cape Canaveral AFS, Florida, USA
MHI,20/06/1996,14:49:00,Space Shuttle Columbia,STS-78,Retired,450,Success,LC-39B, Kennedy Space Center, Florida, USA
Martin Marietta,02/07/1996,07:48:00,Pegasus XL,TOMS,Active,40,Success,Stargazer, Vandenberg AFB, California, USA
RVSN USSR,03/07/1996,00:31:00,Titan IV(405)A,SDS,Retired,,Success,SLC-40, Cape Canaveral AFS, Florida, USA
General Dynamics,16/07/1996,00:50:00,Delta II 7925,USA-126 (GPS IIA-17),Retired,,Success,SLC-17A, Cape Canaveral AFS, Florida, USA
RVSN USSR,25/07/1996,12:42:00,Atlas II,UHF F7,Retired,,Success,SLC-36A, Cape Canaveral AFS, Florida, USA
RVSN USSR,21/08/1996,09:47:00,Pegasus XL,FAST,Active,40,Success,Stargazer, Vandenberg AFB, California, USA
RVSN USSR,08/09/1996,21:49:00,Atlas IIA,GE-1,Retired,,Success,SLC-36B, Cape Canaveral AFS, Florida, USA
NASA,12/09/1996,08:49:00,Delta II 7925,USA-128 (GPS IIA-18),Retired,,Success,SLC-17A, Cape Canaveral AFS, Florida, USA
RVSN USSR,16/09/1996,08:54:00,Space Shuttle Atlantis,STS-79,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
Arianespace,04/11/1996,17:08:00,Pegasus XL,HETE & SAC-B,Active,40,Failure,Stargazer, Vandenberg AFB, California, USA
NASA,07/11/1996,17:00:00,Delta II 7925,Mars Global Surveyor,Retired,,Success,SLC-17A, Cape Canaveral AFS, Florida, USA
RVSN USSR,21/11/1996,20:47:00,Atlas IIA,Hot Bird 2,Retired,,Success,SLC-36A, Cape Canaveral AFS, Florida, USA
RVSN USSR,04/12/1996,06:58:00,Delta II 7925,Mars Pathfinder,Retired,,Success,SLC-17B, Cape Canaveral AFS, Florida, USA
RVSN USSR,07/12/1996,11:49:00,Space Shuttle Columbia,STS-80,Retired,450,Success,LC-39B, Kennedy Space Center, Florida, USA
Boeing,18/12/1996,01:57:00,Atlas IIA,Inmarsat 3-F3,Retired,,Success,SLC-36B, Cape Canaveral AFS, Florida, USA
RVSN USSR,20/12/1996,18:04:00,Titan IV(404)A,NROL-2 (KH-11 Kennen),Retired,,Success,SLC-4E, Vandenberg AFB, California, USA
