,name,diet,lived_in,type,taxonomy,species,period_name,period_start,period_end,length_meters
219,plateosaurus,herbivorous,Switzerland,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,engelhardti,Late Triassic,210,210,7.0
220,podokesaurus,carnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,holyokensis,Mid Jurassic,195,180,0.9
221,poekilopleuron,carnivorous,France,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,bucklandii,Mid Jurassic,169,164,9.0
222,polacanthus,herbivorous,United Kingdom,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,foxii,Early Cretaceous,125,125,5.0
223,prenocephale,herbivorous,Mongolia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,prenes,Late Cretaceous,80,65,2.4
224,probactrosaurus,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,gobiensis,Early Cretaceous,121,99,6.0
225,proceratosaurus,carnivorous,United Kingdom,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,bradleyi,Mid Jurassic,169,164,4.1
226,procompsognathus,carnivorous,Germany,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,triassicus,Late Triassic,221,210,1.0
227,prosaurolophus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,maximus,Late Cretaceous,77,75,7.6
228,protarchaeopteryx,carnivorous,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,robusta,Early Cretaceous,122,120,2.0
229,protoceratops,herbivorous,Mongolia,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,andrewsi,Late Cretaceous,74,70,1.8
230,protohadros,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,byrdi,Late Cretaceous,99,94,6.0
231,psittacosaurus,herbivorous,Russia,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,mongoliensis,Early Cretaceous,120,100,2.0
232,quaesitosaurus,herbivorous,Mongolia,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,orientalis,Late Cretaceous,86,84,23.0
233,rebbachisaurus,herbivorous,Morocco,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,garasbae,Early Cretaceous,112,99,20.0
234,rhabdodon,herbivorous,Spain,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,priscus,Late Cretaceous,76,70,4.0
235,rhoetosaurus,herbivorous,Australia,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda,brownei,Mid Jurassic,177,169,15.0
236,rinchenia,omnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,mongoliensis,Late Cretaceous,72,68,2.5
237,riojasaurus,herbivorous/omnivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,incertus,Late Triassic,221,210,5.15
