name,diet,lived_in,type,taxonomy,species,period_name,period_start,period_end,length_meters
parasaurolophus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,walkeri,Late Cretaceous,76,74,11
parksosaurus,herbivorous,Canada,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,warrenae,Late Cretaceous,76,74,3
patagosaurus,herbivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,fariasi,Mid Jurassic,164,159,18
pelicanimimus,carnivorous,Spain,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,polyodon,Early Cretaceous,127,121,2
pelorosaurus,herbivorous,United Kingdom,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,conybearei,Early Cretaceous,125,125,25
pentaceratops,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,sternbergi,Late Cretaceous,76,74,6.8
piatnitzkysaurus,carnivorous,Argentina,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,floresi,Late Jurassic,164,159,4.2
pinacosaurus,herbivorous,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,grangeri,Late Cretaceous,81,75,5
plateosaurus,herbivorous,Switzerland,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,engelhardti,Late Triassic,210,210,7
podokesaurus,carnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,holyokensis,Mid Jurassic,195,180,0.9
poekilopleuron,carnivorous,France,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,bucklandii,Mid Jurassic,169,164,9
